YIDI_ECOLI	GO:0005575|0.566	GO:0110165|0.544	GO:0008150|0.658
DDRB_DEIRA	GO:0005575|0.661	GO:0110165|0.611	GO:0008150|0.565
ACO10_MOUSE	GO:0005575|0.758	GO:0110165|0.745	GO:0008150|0.813	GO:0009987|0.367
GILT_DANRE	GO:0005575|0.675	GO:0110165|0.628	GO:0008150|0.891	GO:0009987|0.467
CHIC_SECCE	GO:0005575|0.716	GO:0110165|0.660	GO:0008150|0.791
POT3_ARATH	GO:0005575|0.777	GO:0110165|0.760	GO:0008150|0.789
ASB9_HUMAN	GO:0005575|0.672	GO:0110165|0.658	GO:0008150|0.749
DJB12_HUMAN	GO:0005575|0.768	GO:0110165|0.743	GO:0008150|0.757
TRM14_METJA	GO:0005575|0.736	GO:0110165|0.693	GO:0008150|0.775	GO:0009987|0.412
HDA2_CAEEL	GO:0005575|0.704	GO:0110165|0.626	GO:0008150|0.833	GO:0009987|0.396
KIF1A_DROME	GO:0005575|0.800	GO:0110165|0.772	GO:0008150|0.846	GO:0009987|0.409
REL1_HUMAN	GO:0005575|0.736	GO:0110165|0.703	GO:0008150|0.811	GO:0009987|0.318
MMP17_HUMAN	GO:0005575|0.590	GO:0110165|0.557	GO:0008150|0.801
KAD6_YEAST	GO:0005575|0.677	GO:0110165|0.640	GO:0008150|0.846	GO:0009987|0.362
GATA5_ARATH	GO:0005575|0.838	GO:0110165|0.806	GO:0008150|0.887	GO:0009987|0.574
MLX_HUMAN	GO:0005575|0.777	GO:0110165|0.734	GO:0008150|0.813	GO:0009987|0.417
G3P2_YEAST	GO:0005575|0.602	GO:0110165|0.541	GO:0008150|0.717
INT11_HUMAN	GO:0005575|0.653	GO:0110165|0.587	GO:0008150|0.850	GO:0009987|0.369
POLK_CAEEL	GO:0005575|0.757	GO:0110165|0.713	GO:0008150|0.798	GO:0009987|0.360
FCHO1_HUMAN	GO:0005575|0.836	GO:0110165|0.785	GO:0008150|0.758
YJNK_SCHPO	GO:0005575|0.703	GO:0110165|0.642	GO:0008150|0.764	GO:0009987|0.322
YHA8_YEAST	GO:0005575|0.838	GO:0110165|0.800	GO:0008150|0.791	GO:0009987|0.323
YDR09_YEAST	GO:0005575|0.767	GO:0110165|0.727	GO:0008150|0.811	GO:0009987|0.331
LARP1_HUMAN	GO:0005575|0.909	GO:0110165|0.882	GO:0008150|0.895	GO:0009987|0.558	GO:0065007|0.316
CAR2_DICDI	GO:0005575|0.773	GO:0110165|0.717	GO:0008150|0.843	GO:0009987|0.335
SGCD_STRGL	GO:0005575|0.722	GO:0110165|0.688	GO:0008150|0.788	GO:0009987|0.387
AP3B_DICDI	GO:0005575|0.888	GO:0110165|0.865	GO:0008150|0.863	GO:0009987|0.453
CAC1A_HUMAN	GO:0005575|0.906	GO:0110165|0.861	GO:0008150|0.871	GO:0009987|0.475
YO292_YEAST	GO:0005575|0.746	GO:0110165|0.676	GO:0008150|0.846	GO:0009987|0.355
DNJA2_RAT	GO:0005575|0.712	GO:0110165|0.659	GO:0008150|0.755
UBC3_ARATH	GO:0005575|0.669	GO:0110165|0.579	GO:0008150|0.841	GO:0009987|0.422
CAPAR_DROME	GO:0005575|0.813	GO:0110165|0.748	GO:0008150|0.789	GO:0009987|0.310
ARP2_DROME	GO:0005575|0.714	GO:0110165|0.676	GO:0008150|0.855	GO:0009987|0.475
MB212_HUMAN	GO:0005575|0.777	GO:0110165|0.750	GO:0008150|0.852	GO:0009987|0.470
BICRA_HUMAN	GO:0005575|0.900	GO:0110165|0.874	GO:0008150|0.860	GO:0009987|0.470
ACA1_ARATH	GO:0005575|0.864	GO:0110165|0.826	GO:0008150|0.827	GO:0009987|0.367
DPYL2_HUMAN	GO:0005575|0.659	GO:0110165|0.631	GO:0008150|0.735
MUG87_SCHPO	GO:0005575|0.861	GO:0110165|0.830	GO:0008150|0.757
SFRP2_HUMAN	GO:0005575|0.731	GO:0110165|0.706	GO:0008150|0.928	GO:0009987|0.573
MDHM_SCHPO	GO:0005575|0.711	GO:0110165|0.686	GO:0008150|0.646
BNI3L_HUMAN	GO:0005575|0.818	GO:0110165|0.772	GO:0008150|0.874	GO:0009987|0.434
PACN3_MOUSE	GO:0005575|0.755	GO:0110165|0.673	GO:0008150|0.833	GO:0009987|0.408
CORO_SCHPO	GO:0005575|0.762	GO:0110165|0.721	GO:0008150|0.655
TRI66_MOUSE	GO:0005575|0.852	GO:0110165|0.821	GO:0008150|0.902	GO:0009987|0.561
STKLD_ARATH	GO:0005575|0.868	GO:0110165|0.838	GO:0008150|0.777	GO:0009987|0.305
ERFK_ECOLI	GO:0005575|0.654	GO:0110165|0.580	GO:0008150|0.689
NEUBH_CAMJE	GO:0005575|0.755	GO:0110165|0.711	GO:0008150|0.783	GO:0009987|0.364
ASIC4_HUMAN	GO:0005575|0.778	GO:0110165|0.761	GO:0008150|0.875	GO:0009987|0.463
MYH13_HUMAN	GO:0005575|0.906	GO:0110165|0.894	GO:0008150|0.863	GO:0009987|0.416
FBRL_SCHPO	GO:0005575|0.779	GO:0110165|0.705	GO:0008150|0.772	GO:0009987|0.356
BKIP_AGKBI	GO:0005575|0.588	GO:0110165|0.588	GO:0003674|0.322	GO:0008150|0.953	GO:0009987|0.578	GO:0050896|0.696	GO:0050789|0.771	GO:0065007|0.826	GO:0006950|0.696	GO:0009605|0.346	GO:0006952|0.546	GO:0005576|0.588
TRI63_HUMAN	GO:0005575|0.817	GO:0110165|0.802	GO:0008150|0.781	GO:0009987|0.395
INX2_DROME	GO:0005575|0.670	GO:0110165|0.628	GO:0008150|0.798
HEM4_SCHPO	GO:0005575|0.846	GO:0110165|0.798	GO:0008150|0.845	GO:0009987|0.423
FANCG_HUMAN	GO:0005575|0.762	GO:0110165|0.748	GO:0008150|0.807	GO:0009987|0.368
FHMAD_MYCTU	GO:0005575|0.681	GO:0110165|0.648	GO:0008150|0.828	GO:0009987|0.367
TLP1_PRUPE	GO:0005575|0.781	GO:0110165|0.735	GO:0008150|0.889	GO:0009987|0.472
AKAP1_RAT	GO:0005575|0.827	GO:0110165|0.803	GO:0008150|0.792	GO:0009987|0.322
COX19_YEAST	GO:0005575|0.638	GO:0110165|0.614	GO:0008150|0.882	GO:0009987|0.483
RK36_ARATH	GO:0005575|0.557	GO:0110165|0.486	GO:0008150|0.812
INP5E_HUMAN	GO:0005575|0.837	GO:0110165|0.814	GO:0008150|0.805	GO:0009987|0.386
HMGB7_ARATH	GO:0005575|0.911	GO:0110165|0.911	GO:0008150|0.616
B120_ARATH	GO:0005575|0.806	GO:0110165|0.786	GO:0008150|0.768
C6A20_DROME	GO:0005575|0.787	GO:0110165|0.773	GO:0008150|0.791	GO:0009987|0.358
TOR1_YEAST	GO:0005575|0.871	GO:0110165|0.840	GO:0008150|0.865	GO:0009987|0.484
ICR2_ARATH	GO:0005575|0.865	GO:0110165|0.842	GO:0008150|0.826	GO:0009987|0.462
BKRB1_RAT	GO:0005575|0.655	GO:0110165|0.601	GO:0008150|0.768
ATP5H_ARATH	GO:0005575|0.710	GO:0110165|0.689	GO:0008150|0.516
AB13C_ORYSJ	GO:0005575|0.844	GO:0110165|0.798	GO:0008150|0.885	GO:0009987|0.429
PP354_ARATH	GO:0005575|0.568	GO:0110165|0.532	GO:0008150|0.766
PK3CD_MOUSE	GO:0005575|0.788	GO:0110165|0.720	GO:0008150|0.904	GO:0009987|0.566
YJ12B_YEAST	GO:0005575|0.814	GO:0110165|0.772	GO:0008150|0.895	GO:0009987|0.547
HEM3_CANAL	GO:0005575|0.801	GO:0110165|0.771	GO:0008150|0.884	GO:0009987|0.545
PSY1_ARATH	GO:0005575|0.807	GO:0110165|0.734	GO:0008150|0.866	GO:0009987|0.304	GO:0050896|0.336	GO:0065007|0.312
TM201_CAEEL	GO:0005575|0.837	GO:0110165|0.823	GO:0008150|0.750
SVN_SCYVA	GO:0005575|0.587	GO:0110165|0.550	GO:0008150|0.862	GO:0009987|0.306
AVT1A_ARATH	GO:0005575|0.834	GO:0110165|0.815	GO:0008150|0.861	GO:0009987|0.420
FER_MOUSE	GO:0005575|0.807	GO:0110165|0.770	GO:0008150|0.758	GO:0009987|0.329
TPC_RANTE	GO:0005575|0.746	GO:0110165|0.746	GO:0032501|0.310	GO:0008150|0.955	GO:0009987|0.544	GO:0050896|0.808	GO:0050789|0.741	GO:0065007|0.793	GO:0051716|0.403	GO:0006950|0.803	GO:0009605|0.631	GO:0098542|0.508	GO:0043207|0.508	GO:0006952|0.792	GO:0044419|0.508	GO:0042742|0.374	GO:0051707|0.508	GO:0009607|0.508	GO:0009617|0.374	GO:0005576|0.746	GO:0051239|0.310	GO:0003008|0.310	GO:0044057|0.310	GO:0050829|0.374	GO:0090257|0.310	GO:0003012|0.310	GO:0006939|0.310	GO:0006936|0.310
SOTB_ECOLI	GO:0005575|0.767	GO:0110165|0.750	GO:0008150|0.735
NHP6_CANAL	GO:0005575|0.844	GO:0110165|0.820	GO:0008150|0.737
PPOX_MOUSE	GO:0005575|0.758	GO:0110165|0.710	GO:0008150|0.748	GO:0009987|0.330
6PGL3_ARATH	GO:0005575|0.774	GO:0110165|0.759	GO:0008150|0.617
CPT1A_MOUSE	GO:0005575|0.731	GO:0110165|0.640	GO:0008150|0.747
STXB2_RAT	GO:0005575|0.811	GO:0110165|0.766	GO:0008150|0.784
RBSK_ARATH	GO:0005575|0.750	GO:0110165|0.692	GO:0008150|0.816	GO:0009987|0.392
RSLBB_MOUSE	GO:0005575|0.771	GO:0110165|0.723	GO:0008150|0.835	GO:0009987|0.460
ALK2_YEAST	GO:0005575|0.909	GO:0110165|0.877	GO:0008150|0.776	GO:0009987|0.372
BMT8_CANAL	GO:0005575|0.721	GO:0110165|0.672	GO:0008150|0.834	GO:0009987|0.399
GBG1_DROME	GO:0005575|0.824	GO:0110165|0.766	GO:0008150|0.908	GO:0009987|0.611	GO:0050896|0.398	GO:0050789|0.626	GO:0065007|0.626	GO:0050794|0.396
PBL19_ARATH	GO:0005575|0.798	GO:0110165|0.790	GO:0008150|0.815	GO:0009987|0.356
DHCR7_MOUSE	GO:0005575|0.500	GO:0110165|0.457	GO:0008150|0.749
ELA_MOUSE	GO:0005575|0.773	GO:0110165|0.682	GO:0008150|0.911	GO:0009987|0.554	GO:0050896|0.341	GO:0050789|0.700	GO:0065007|0.700	GO:0050794|0.392
GILT_CARAU	GO:0005575|0.666	GO:0110165|0.614	GO:0008150|0.846	GO:0009987|0.373
NLRC5_MOUSE	GO:0005575|0.849	GO:0110165|0.804	GO:0008150|0.885	GO:0009987|0.566
MYB41_ARATH	GO:0005575|0.695	GO:0110165|0.634	GO:0008150|0.848	GO:0009987|0.380
CORTO_DROME	GO:0005575|0.690	GO:0110165|0.669	GO:0008150|0.874	GO:0009987|0.431
MSH6_HUMAN	GO:0005575|0.910	GO:0110165|0.890	GO:0008150|0.847	GO:0009987|0.540
GPX1_SCHPO	GO:0005575|0.815	GO:0110165|0.737	GO:0008150|0.813	GO:0009987|0.367
CRLF2_MOUSE	GO:0005575|0.666	GO:0110165|0.655	GO:0008150|0.787	GO:0009987|0.313
ETR1_ARATH	GO:0005575|0.727	GO:0110165|0.686	GO:0008150|0.810	GO:0009987|0.323
SYMC_HUMAN	GO:0005575|0.784	GO:0110165|0.709	GO:0008150|0.837	GO:0009987|0.423
PTST2_ARATH	GO:0005575|0.769	GO:0110165|0.736	GO:0008150|0.717
CTU2_YEAST	GO:0005575|0.861	GO:0110165|0.840	GO:0008150|0.811	GO:0009987|0.346
FBXA_DICDI	GO:0005575|0.816	GO:0110165|0.807	GO:0003674|0.323	GO:0008150|0.935	GO:0009987|0.589
DHAA_BRADU	GO:0005575|0.658	GO:0110165|0.607	GO:0008150|0.806	GO:0009987|0.334
MIEN1_HUMAN	GO:0005575|0.667	GO:0110165|0.616	GO:0003674|0.385	GO:0008150|0.890	GO:0009987|0.579
SF3B1_YEAST	GO:0005575|0.795	GO:0110165|0.775	GO:0008150|0.853	GO:0009987|0.464
ALGE_PSEAE	GO:0005575|0.598	GO:0110165|0.572	GO:0008150|0.716
RL32_DROME	GO:0005575|0.785	GO:0110165|0.750	GO:0008150|0.720	GO:0009987|0.316
CJ090_HUMAN	GO:0005575|0.904	GO:0110165|0.885	GO:0008150|0.904	GO:0009987|0.572
VIRB8_BRUSU	GO:0005575|0.657	GO:0110165|0.557	GO:0008150|0.815	GO:0009987|0.313
CXA3_HUMAN	GO:0005575|0.913	GO:0110165|0.912	GO:0008150|0.878	GO:0009987|0.527
RUMI_DROME	GO:0005575|0.686	GO:0110165|0.662	GO:0008150|0.842	GO:0009987|0.376
CLF_ARATH	GO:0005575|0.823	GO:0110165|0.781	GO:0008150|0.890	GO:0009987|0.502
SFP47_SCHPO	GO:0005575|0.840	GO:0110165|0.765	GO:0008150|0.760	GO:0009987|0.368
RGP5_ARATH	GO:0005575|0.705	GO:0110165|0.687	GO:0008150|0.855	GO:0009987|0.480
IFNL2_HUMAN	GO:0005575|0.569	GO:0110165|0.537	GO:0008150|0.828	GO:0009987|0.305
RS7_DROME	GO:0005575|0.808	GO:0110165|0.767	GO:0008150|0.780	GO:0009987|0.385
GBRR2_MOUSE	GO:0005575|0.741	GO:0110165|0.692	GO:0008150|0.885	GO:0009987|0.452
TRX_DROME	GO:0005575|0.908	GO:0110165|0.892	GO:0008150|0.930	GO:0009987|0.585
WFDC2_HUMAN	GO:0005575|0.702	GO:0110165|0.630	GO:0032501|0.304	GO:0008150|0.916	GO:0009987|0.543	GO:0050896|0.434	GO:0050789|0.522	GO:0065007|0.523
B2GRA_ODOGR	GO:0005575|0.842	GO:0110165|0.783	GO:0008150|0.882	GO:0009987|0.418	GO:0050896|0.455	GO:0050789|0.437	GO:0065007|0.502	GO:0006950|0.316
MET14_HUMAN	GO:0005575|0.772	GO:0110165|0.740	GO:0008150|0.875	GO:0009987|0.564
IQCF1_HUMAN	GO:0005575|0.846	GO:0110165|0.820	GO:0008150|0.787	GO:0009987|0.501
PTPRQ_HUMAN	GO:0005575|0.859	GO:0110165|0.824	GO:0008150|0.828	GO:0009987|0.402
S10A7_HUMAN	GO:0005575|0.744	GO:0110165|0.719	GO:0008150|0.727
MCR_ONCMY	GO:0005575|0.622	GO:0110165|0.604	GO:0008150|0.875	GO:0009987|0.441
G6PI_ECOLI	GO:0005575|0.617	GO:0110165|0.576	GO:0008150|0.763
PTF1A_DANRE	GO:0005575|0.761	GO:0110165|0.682	GO:0008150|0.851	GO:0009987|0.424
PCSK5_HUMAN	GO:0005575|0.764	GO:0110165|0.750	GO:0008150|0.928	GO:0009987|0.595
AKIP_MOUSE	GO:0005575|0.633	GO:0110165|0.536	GO:0008150|0.788	GO:0009987|0.309
IL12A_HUMAN	GO:0005575|0.780	GO:0110165|0.741	GO:0008150|0.822	GO:0009987|0.424
HSP70_CHICK	GO:0005575|0.757	GO:0110165|0.743	GO:0008150|0.803	GO:0009987|0.343
PTRB_ECOLI	GO:0005575|0.697	GO:0110165|0.653	GO:0008150|0.782
END3_EMENI	GO:0005575|0.637	GO:0110165|0.613	GO:0008150|0.621
FTSL_ECOLI	GO:0005575|0.636	GO:0110165|0.578	GO:0008150|0.907	GO:0009987|0.573
GLPK_ARATH	GO:0005575|0.737	GO:0110165|0.704	GO:0008150|0.698
PHF5A_HUMAN	GO:0005575|0.566	GO:0110165|0.489	GO:0008150|0.869	GO:0009987|0.380
RHEB_RAT	GO:0005575|0.694	GO:0110165|0.632	GO:0008150|0.650
VPS92_SCHPO	GO:0005575|0.865	GO:0110165|0.827	GO:0008150|0.782	GO:0009987|0.432
ESPL1_MOUSE	GO:0005575|0.776	GO:0110165|0.746	GO:0008150|0.927	GO:0009987|0.618
GOLP3_HUMAN	GO:0005575|0.739	GO:0110165|0.686	GO:0008150|0.842	GO:0009987|0.389
COBRA_ARATH	GO:0005575|0.790	GO:0110165|0.759	GO:0008150|0.768	GO:0009987|0.331
HASP_MOUSE	GO:0005575|0.789	GO:0110165|0.750	GO:0008150|0.757	GO:0009987|0.311
RN145_DANRE	GO:0005575|0.879	GO:0110165|0.855	GO:0008150|0.803	GO:0009987|0.303
TAF6_YEAST	GO:0005575|0.824	GO:0110165|0.770	GO:0008150|0.687
TCL2_ARATH	GO:0005575|0.439	GO:0110165|0.385	GO:0008150|0.671
DIC1_YEAST	GO:0005575|0.612	GO:0110165|0.558	GO:0008150|0.708
TRI58_MOUSE	GO:0005575|0.763	GO:0110165|0.727	GO:0008150|0.807	GO:0009987|0.318
NPB_HUMAN	GO:0005575|0.677	GO:0110165|0.613	GO:0008150|0.745
NET1B_ARATH	GO:0005575|0.818	GO:0110165|0.786	GO:0008150|0.859	GO:0009987|0.399
APC_HUMAN	GO:0005575|0.866	GO:0110165|0.855	GO:0008150|0.906	GO:0009987|0.497
TR10A_HUMAN	GO:0005575|0.889	GO:0110165|0.873	GO:0008150|0.877	GO:0009987|0.503
YGFI_ECOLI	GO:0005575|0.775	GO:0110165|0.680	GO:0008150|0.864	GO:0009987|0.513
PXG_PINEL	GO:0005575|0.661	GO:0110165|0.608	GO:0008150|0.791
RT11_HUMAN	GO:0005575|0.705	GO:0110165|0.653	GO:0008150|0.724
GALR2_MOUSE	GO:0005575|0.802	GO:0110165|0.797	GO:0008150|0.891	GO:0009987|0.434
DHX33_HUMAN	GO:0005575|0.691	GO:0110165|0.649	GO:0008150|0.762
RL7A_HUMAN	GO:0005575|0.765	GO:0110165|0.723	GO:0008150|0.769	GO:0009987|0.325
WTF15_SCHKA	GO:0005575|0.832	GO:0110165|0.769	GO:0008150|0.873	GO:0009987|0.418
LYSAC_ECOLI	GO:0005575|0.782	GO:0110165|0.713	GO:0008150|0.867	GO:0009987|0.469
NHLC1_MOUSE	GO:0005575|0.672	GO:0110165|0.669	GO:0008150|0.805	GO:0009987|0.324
GATC_MYCTU	GO:0005575|0.690	GO:0110165|0.628	GO:0008150|0.860	GO:0009987|0.467
TCPH_ARATH	GO:0005575|0.793	GO:0110165|0.772	GO:0008150|0.755	GO:0009987|0.352
APG12_DROME	GO:0005575|0.677	GO:0110165|0.634	GO:0008150|0.831	GO:0009987|0.319
CRL_SALTY	GO:0005575|0.689	GO:0110165|0.632	GO:0008150|0.753
YJO2_SCHPO	GO:0005575|0.773	GO:0110165|0.691	GO:0008150|0.819
REBF_LENAE	GO:0005575|0.491	GO:0110165|0.441	GO:0008150|0.872	GO:0009987|0.455
RIM2_DROME	GO:0005575|0.719	GO:0110165|0.686	GO:0008150|0.821	GO:0009987|0.313
GH32_ARATH	GO:0005575|0.740	GO:0110165|0.723	GO:0008150|0.772	GO:0009987|0.373
DNSL3_HUMAN	GO:0005575|0.748	GO:0110165|0.688	GO:0008150|0.779
CRTAP_CHICK	GO:0005575|0.721	GO:0110165|0.683	GO:0008150|0.865	GO:0009987|0.525
CDUB2_CHLTR	GO:0005575|0.739	GO:0110165|0.713	GO:0008150|0.871	GO:0009987|0.464
RS23A_SCHPO	GO:0005575|0.686	GO:0110165|0.664	GO:0008150|0.722
SLF1_YEAST	GO:0005575|0.739	GO:0110165|0.696	GO:0008150|0.847	GO:0009987|0.364
FUCA_ECOLI	GO:0005575|0.642	GO:0110165|0.589	GO:0008150|0.763	GO:0009987|0.323
GLGL1_ARATH	GO:0005575|0.682	GO:0110165|0.649	GO:0008150|0.846	GO:0009987|0.439
ASPG1_ARATH	GO:0005575|0.800	GO:0110165|0.759	GO:0008150|0.832
CHP3_HUMAN	GO:0005575|0.604	GO:0110165|0.546	GO:0008150|0.873	GO:0009987|0.418
RBR1_CANAL	GO:0005575|0.775	GO:0110165|0.755	GO:0008150|0.593
MCA4_TRYBB	GO:0005575|0.660	GO:0110165|0.586	GO:0008150|0.865	GO:0009987|0.420
PHS1_MAIZE	GO:0005575|0.652	GO:0110165|0.607	GO:0008150|0.790	GO:0009987|0.363
DGAT2_MOUSE	GO:0005575|0.768	GO:0110165|0.742	GO:0008150|0.778
CFM3B_ARATH	GO:0005575|0.811	GO:0110165|0.771	GO:0008150|0.719
HSP7C_CAEEL	GO:0005575|0.824	GO:0110165|0.810	GO:0008150|0.688
COF2_DICDI	GO:0005575|0.779	GO:0110165|0.765	GO:0008150|0.886	GO:0009987|0.541
CAS4_SACS2	GO:0005575|0.620	GO:0110165|0.547	GO:0008150|0.898	GO:0009987|0.547
PUP3_ARATH	GO:0005575|0.752	GO:0110165|0.722	GO:0008150|0.787	GO:0009987|0.311
RNA1_YEAST	GO:0005575|0.827	GO:0110165|0.804	GO:0008150|0.760	GO:0009987|0.323
ACSL3_HUMAN	GO:0005575|0.866	GO:0110165|0.836	GO:0008150|0.781	GO:0009987|0.322
NAC71_ORYSJ	GO:0005575|0.648	GO:0110165|0.584	GO:0008150|0.759
SEPT8_HUMAN	GO:0005575|0.754	GO:0110165|0.733	GO:0008150|0.779	GO:0009987|0.352
SAM10_CAEEL	GO:0005575|0.645	GO:0110165|0.605	GO:0008150|0.878	GO:0009987|0.343
JADE2_HUMAN	GO:0005575|0.867	GO:0110165|0.822	GO:0008150|0.856	GO:0009987|0.523
LRRT2_MOUSE	GO:0005575|0.761	GO:0110165|0.674	GO:0008150|0.832	GO:0009987|0.332
CLPP2_ARATH	GO:0005575|0.802	GO:0110165|0.737	GO:0008150|0.740
H6_ONCMY	GO:0005575|0.789	GO:0110165|0.762	GO:0008150|0.542
IFT74_HUMAN	GO:0005575|0.920	GO:0110165|0.908	GO:0008150|0.675	GO:0005622|0.323	GO:0009987|0.379
ODPB_YEAST	GO:0005575|0.825	GO:0110165|0.781	GO:0008150|0.694	GO:0009987|0.321
FA92A_HUMAN	GO:0005575|0.771	GO:0110165|0.716	GO:0008150|0.768	GO:0009987|0.347
ARGJ_EMENI	GO:0005575|0.633	GO:0110165|0.596	GO:0008150|0.726
SRAC1_MOUSE	GO:0005575|0.755	GO:0110165|0.739	GO:0008150|0.821	GO:0009987|0.411
MYOA_DICDI	GO:0005575|0.866	GO:0110165|0.846	GO:0008150|0.828	GO:0009987|0.430
FAHD2_MOUSE	GO:0005575|0.757	GO:0110165|0.722	GO:0008150|0.835	GO:0009987|0.401
MYL9_HUMAN	GO:0005575|0.611	GO:0110165|0.581	GO:0008150|0.728
IKKE_MOUSE	GO:0005575|0.664	GO:0110165|0.598	GO:0008150|0.837	GO:0009987|0.442
MIOX_HUMAN	GO:0005575|0.570	GO:0110165|0.570	GO:0008150|0.595
TREB_EMENI	GO:0005575|0.721	GO:0110165|0.675	GO:0008150|0.687
ABI4_ORYSJ	GO:0005575|0.763	GO:0110165|0.707	GO:0008150|0.826	GO:0009987|0.403
PIP23_ARATH	GO:0005575|0.697	GO:0110165|0.663	GO:0008150|0.874	GO:0009987|0.418
RL6A_YEAST	GO:0005575|0.828	GO:0110165|0.818	GO:0008150|0.551
FXD3B_XENLA	GO:0005575|0.758	GO:0110165|0.688	GO:0008150|0.805	GO:0009987|0.347
YJO4_YEAST	GO:0005575|0.534	GO:0110165|0.451	GO:0008150|0.688
EPT1_YEAST	GO:0005575|0.828	GO:0110165|0.817	GO:0008150|0.906	GO:0009987|0.524
RS155_ARATH	GO:0005575|0.820	GO:0110165|0.781	GO:0008150|0.776	GO:0009987|0.341
CACB4_MOUSE	GO:0005575|0.740	GO:0110165|0.704	GO:0008150|0.853	GO:0009987|0.429
PLAL2_HUMAN	GO:0005575|0.789	GO:0110165|0.744	GO:0008150|0.881	GO:0009987|0.445
FAX5_ARATH	GO:0005575|0.802	GO:0110165|0.775	GO:0008150|0.858	GO:0009987|0.448
SRX_ARATH	GO:0005575|0.693	GO:0110165|0.669	GO:0008150|0.828	GO:0009987|0.377
DED1_YEAST	GO:0005575|0.735	GO:0110165|0.700	GO:0008150|0.799	GO:0009987|0.368
PSUG_ECOLI	GO:0005575|0.724	GO:0110165|0.684	GO:0008150|0.718
SEM1_HUMAN	GO:0005575|0.361	GO:0110165|0.312	GO:0003674|0.367	GO:0008150|0.921	GO:0009987|0.507	GO:0050896|0.456	GO:0050789|0.456	GO:0065007|0.490	GO:0003824|0.345	GO:0016787|0.336
ARSJ_HUMAN	GO:0005575|0.711	GO:0110165|0.674	GO:0008150|0.818	GO:0009987|0.306
KBRS1_HUMAN	GO:0005575|0.745	GO:0110165|0.664	GO:0008150|0.752	GO:0009987|0.336
ST1E2_RAT	GO:0005575|0.709	GO:0110165|0.673	GO:0008150|0.848	GO:0009987|0.381
CR1L_MOUSE	GO:0005575|0.778	GO:0110165|0.738	GO:0008150|0.803	GO:0009987|0.306
PQE1_CAEEL	GO:0005575|0.860	GO:0110165|0.823	GO:0008150|0.788	GO:0009987|0.344
MYCP2_MYCTU	GO:0005575|0.708	GO:0110165|0.641	GO:0008150|0.801	GO:0009987|0.362
NDUS7_BOVIN	GO:0005575|0.563	GO:0110165|0.508	GO:0008150|0.822	GO:0009987|0.332
HES1_YEAST	GO:0005575|0.722	GO:0110165|0.690	GO:0008150|0.800	GO:0009987|0.304
YL89_SCHPO	GO:0005575|0.791	GO:0110165|0.722	GO:0008150|0.744
PHOU_ECOL6	GO:0005575|0.622	GO:0110165|0.519	GO:0008150|0.776	GO:0009987|0.326
NKX22_HUMAN	GO:0005575|0.678	GO:0110165|0.592	GO:0008150|0.784	GO:0009987|0.332
ELP1_ARATH	GO:0005575|0.818	GO:0110165|0.807	GO:0008150|0.838	GO:0009987|0.433
EVC_HUMAN	GO:0005575|0.822	GO:0110165|0.767	GO:0008150|0.775	GO:0009987|0.370
SETBP_MOUSE	GO:0005575|0.842	GO:0110165|0.797	GO:0008150|0.865	GO:0009987|0.445
YIQ9_SCHPO	GO:0005575|0.796	GO:0110165|0.784	GO:0008150|0.760	GO:0009987|0.341
CP3A2_RAT	GO:0005575|0.821	GO:0110165|0.796	GO:0008150|0.833	GO:0009987|0.345
ENV_HV1MF	GO:0005575|0.719	GO:0110165|0.635	GO:0008150|0.790	GO:0009987|0.312
PRAM_HUMAN	GO:0005575|0.916	GO:0110165|0.895	GO:0008150|0.762	GO:0005622|0.352	GO:0009987|0.403
RS153_ARATH	GO:0005575|0.795	GO:0110165|0.782	GO:0008150|0.668
TBC25_HUMAN	GO:0005575|0.743	GO:0110165|0.740	GO:0008150|0.864	GO:0009987|0.399
TMCO1_DANRE	GO:0005575|0.690	GO:0110165|0.674	GO:0008150|0.786
HS71B_MOUSE	GO:0005575|0.751	GO:0110165|0.713	GO:0008150|0.724
ATE1_DICDI	GO:0005575|0.904	GO:0110165|0.876	GO:0008150|0.880	GO:0009987|0.571
NCOR1_HUMAN	GO:0005575|0.857	GO:0110165|0.818	GO:0008150|0.773	GO:0009987|0.353
PSBB_ORYSA	GO:0005575|0.626	GO:0110165|0.571	GO:0008150|0.814
BZR1_ARATH	GO:0005575|0.705	GO:0110165|0.637	GO:0008150|0.832	GO:0009987|0.429
KCMF1_HUMAN	GO:0005575|0.815	GO:0110165|0.775	GO:0008150|0.915	GO:0009987|0.562
TTTP_BPT5	GO:0005575|0.717	GO:0110165|0.659	GO:0008150|0.792	GO:0009987|0.355
GRXS6_ARATH	GO:0005575|0.664	GO:0110165|0.663	GO:0008150|0.867	GO:0009987|0.436
TURB_SYNTU	GO:0005575|0.493	GO:0110165|0.443	GO:0008150|0.858	GO:0050896|0.315
BDNF_HUMAN	GO:0005575|0.673	GO:0110165|0.602	GO:0008150|0.830	GO:0009987|0.307
ARFB_MYCTU	GO:0005575|0.639	GO:0110165|0.572	GO:0008150|0.689
MRE11_PYRFU	GO:0005575|0.728	GO:0110165|0.673	GO:0008150|0.731
LON3_CAEEL	GO:0005575|0.767	GO:0110165|0.707	GO:0008150|0.860	GO:0009987|0.368
SOK2_ARATH	GO:0005575|0.767	GO:0110165|0.721	GO:0008150|0.861	GO:0009987|0.417
